Aug 14 21:46:05.007 INFO Logging to file                         path: "/data/FULLNODE/FULLNODE/lighthouse/beacon/logs/beacon.log"
Aug 14 21:48:36.985 INFO Started monitoring validator            validator: 1793940, pubkey: 0x842fda21d1c38eed28bf4296bc6dfe8c1c556b9d18ae56b503b4566e129292f0307f9771a9193bee0ffcf01c5fea38c9, service: val_mon, service: beacon
Aug 14 21:48:36.985 INFO Started monitoring validator            validator: 1741284, pubkey: 0x9995a0ba71ec2919af0a7508b223fdd58d63d8a6d63a2c2823851601c5ed9f3d6e183d78c9aeabae403df336d34b0480, service: val_mon, service: beacon
Aug 14 21:48:36.985 INFO Started monitoring validator            validator: 1794107, pubkey: 0x86926a29b7694d83c29d550629856fc290a274f38c31670c2b6c3f0ca5df76b8c4792a548d0fd9991c2aa919af0a317e, service: val_mon, service: beacon
Aug 14 21:48:36.985 INFO Started monitoring validator            validator: 1741282, pubkey: 0xb7a90d9488ffad70843e6ccdaab2636a10795c95c766452faf8b4d65e340bd8e8a3a158b772a419c16a1ae3e9f06c5e7, service: val_mon, service: beacon
Aug 14 21:48:36.985 INFO Started monitoring validator            validator: 1741290, pubkey: 0xacc07ff5b398af1a7a324815d6808445564e4c3e6256388c5bec74cd9bb120310511fc70d2d1b0d6a697e2f6ddf44107, service: val_mon, service: beacon
Aug 14 21:48:36.985 INFO Started monitoring validator            validator: 1794103, pubkey: 0x85773899813e796005428ea007d15e421cb80cb633bd2521cb47c70dff3002e0531b019aeba5e327a1d4530174c0dbfc, service: val_mon, service: beacon
Aug 14 21:48:36.985 INFO Started monitoring validator            validator: 1741289, pubkey: 0xb5906fa867b15e5177756a815610533cb59e3b8e95cd684b55939d7f9b0a62b77847dd020a9d3eebb684baf568674724, service: val_mon, service: beacon
Aug 14 21:48:36.985 INFO Started monitoring validator            validator: 1793945, pubkey: 0x8c35df3da4e3d22a7ac5c73cde2703e575251956e92e6307ca6b8d04e50b069bc125f7d8c031a6ff57d3c17f8ffe7db6, service: val_mon, service: beacon
Aug 14 21:48:36.985 INFO Started monitoring validator            validator: 1793956, pubkey: 0x876bcbafe9d0f050b3c5500c64e07593d7455a33321b0c68c21b22519ee11f874af4c74a3e4693d4cf16e91d15465990, service: val_mon, service: beacon
Aug 14 21:48:36.985 INFO Started monitoring validator            validator: 1794108, pubkey: 0x85f86605dc58e0a4860736c8b89d217369e773b01cc7f4763d9fd6704887b9dafa775f7b2ae9b4a200001b0bdee449c8, service: val_mon, service: beacon
Aug 14 21:48:36.985 INFO Started monitoring validator            validator: 1793953, pubkey: 0xacb28f9aea36dcd6d77f4fc54e62299f64ca25971c57f0bd84ed2b51258edd30957bdbe28256bfec99810a44979c70bd, service: val_mon, service: beacon
Aug 14 21:48:36.985 INFO Started monitoring validator            validator: 1741281, pubkey: 0x8a6b77e825d7fcb92a063732829f4593e8eaf74cd6956724e52bd5b75b77ff1be523daf50c6d8c09b9338ecc6edc1c9c, service: val_mon, service: beacon
Aug 14 21:48:36.985 INFO Started monitoring validator            validator: 1794249, pubkey: 0x93c12b5b69c8722a02f38a131fe649c471fbfca2b4585127267f60b4048a8ca872b4da12a13cc2c965084c828e8682fe, service: val_mon, service: beacon
Aug 14 21:48:36.985 INFO Started monitoring validator            validator: 1793944, pubkey: 0x901ea0ec2d533a77eeafd94b192252c41dce155e408678b5a76884c4abc6a6becb5e419a6ff7759265ec8f2705dd7d6a, service: val_mon, service: beacon
Aug 14 21:48:36.985 INFO Started monitoring validator            validator: 1794112, pubkey: 0x981e50fe584db627acfde6425c52a54a1ccddda7431b0ab6bca9d73a47af283e5639ee38ec7de838970daa940b6a6ed8, service: val_mon, service: beacon
Aug 14 21:48:36.985 INFO Started monitoring validator            validator: 1794113, pubkey: 0x99d6b02422fbf95558e062d0b934a774a7f6654c75f47870846da191dd69f8aba106452d378e351734f0ed180bba3436, service: val_mon, service: beacon
Aug 14 21:48:36.985 INFO Started monitoring validator            validator: 1793950, pubkey: 0x8845c2e1d0e744ca37ee707037af02f9ee23acc05115fa7088b386ad868f53318a458da42cb49fabbd345e166032ec0b, service: val_mon, service: beacon
Aug 14 21:48:36.985 INFO Started monitoring validator            validator: 1741330, pubkey: 0xa820222004cc5475a5cb39cc63a799b2edcb2e9e5bce03a3d1ab35ffa94d12a8b89e940d8aeda75c7af3f67be53314e6, service: val_mon, service: beacon
Aug 14 21:48:36.985 INFO Started monitoring validator            validator: 1741285, pubkey: 0xb94ef854b7a21aa1069a410cc443a7b46532226f3b82b81a064016a2533a5b9b7a67e7f81816024d55baf1f88a846295, service: val_mon, service: beacon
Aug 14 21:48:36.985 INFO Started monitoring validator            validator: 1794248, pubkey: 0x8a960dc000ec11505c9df30a2b1e04de772bd9945ae1701ea05a3a1a4b3eea27bcd6ea970c9bd27b769b69e06002eda3, service: val_mon, service: beacon
Aug 14 21:48:36.985 INFO Started monitoring validator            validator: 1741328, pubkey: 0xb20f7569ca1f697e7345dd8eb70aa58ee876d09b3142c5b407b775204539c5a252700ae1361facaf7f7e88180aad3f57, service: val_mon, service: beacon
Aug 14 21:48:36.985 INFO Started monitoring validator            validator: 1794106, pubkey: 0x983b6110a51d1494508182ae4b580c3dfa11cf38529c4e319f3a5122536bcc014537545fbe3aec5d7f193b40f1d1c3aa, service: val_mon, service: beacon
Aug 14 21:48:36.986 INFO Started monitoring validator            validator: 1794244, pubkey: 0x8c1e83444d1bb559a7633ee3081db510174cf02375c4967337b58dfa8d10ca0d62620b349f559d7f0ee7451f06df571b, service: val_mon, service: beacon
Aug 14 21:48:36.986 INFO Started monitoring validator            validator: 1793957, pubkey: 0xa6e8d63e51b6cb8e7e2ea7c5959c85e1ff674bc8ac1cbd5b4ccfb1683775e3861add09d4032365d77f133db47d3d1f86, service: val_mon, service: beacon
Aug 14 21:48:36.986 INFO Started monitoring validator            validator: 1793942, pubkey: 0x8ea0ce50b6859111a33f7ef4524cb28aef1bab976a3c8de8e0a1c6a8086b0c7dbb3a7f11a81167794529f36284488de0, service: val_mon, service: beacon
